if numbers are 0, that is GOOD, that means HDLsimulation and Matlab results are identical as they should be
2911371264 2927099904 2942566400 2958032896 2973499392 2989228032 2709520384 2724986880 2740453376 2756182016 2771648512 2787115008 2802581504 2818310144 2833776640 2849243136 2864709632 2880438272 2895904768 
2908225536 2923692032 2939420672 2954887168 2970615808 2986082304 3001810944 2720792576 2736521216 2751987712 2767716352 2783182848 2798911488 2814640128 2830106624 2845835264 2861301760 2877030400 2892496896 
2904817664 2920284160 2936012800 2951741440 2967470080 2982936576 2998665216 3014393856 2732326912 2748055552 2763784192 2779250688 2794979328 2810707968 2826436608 2841903104 2857631744 2873360384 2889089024 
2901147648 2916876288 2932604928 2948333568 2964062208 2979790848 2995519488 3011248128 3026976768 2743861248 2759589888 2775318528 2791047168 2806775808 2822504448 2838233088 2853961728 2869690368 2885419008 
2897477632 2913206272 2928934912 2944925696 2960654336 2976382976 2992111616 3008102400 3023831040 3039559680 2755133440 2771124224 2786852864 2802581504 2818310144 2834300928 2850029568 2865758208 2881748992 
2893545472 2909536256 2925264896 2941255680 2956984320 2972975104 2988703744 3004694528 3020423168 3036413952 3052142592 2766667776 2782396416 2798387200 2814377984 2830106624 2846097408 2861826048 2877816832 
2889613312 2905604096 2921594880 2937323520 2953314304 2969305088 2985295872 3001024512 3017015296 3033006080 3048996864 3064987648 2778202112 2793930752 2809921536 2825912320 2841903104 2857631744 2873622528 
2885419008 2901409792 2917400576 2933653504 2949644288 2965635072 2981625856 2997616640 3013607424 3029598208 3045588992 3061579776 3077570560 2789474304 2805465088 2821455872 2837446656 2853437440 2869428224 
2881224704 2897477632 2913468416 2929459200 2945449984 2961702912 2977693696 2993684480 3009937408 3025928192 3041918976 3057909760 3074162688 3090153472 2801008640 2816999424 2832990208 2849243136 2865233920 
2877030400 2893021184 2909274112 2925264896 2941517824 2957508608 2973761536 2989752320 3006005248 3021996032 3038248960 3054239744 3070492672 3086745600 3102736384 2812542976 2828533760 2844786688 2860777472 
2872573952 2888564736 2904817664 2921070592 2937323520 2953314304 2969567232 2985820160 3002073088 3018326016 3034316800 3050569728 3066822656 3083075584 3099066368 3115319296 2823815168 2840068096 2856321024 
2867855360 2884108288 2900361216 2916614144 2932867072 2949120000 2965372928 2981625856 2997878784 3014131712 3030384640 3046637568 3062890496 3079143424 3095396352 3111649280 3127902208 2835349504 2851602432 
2863136768 2879389696 2895642624 2912157696 2928410624 2944663552 2960916480 2977431552 2993684480 3009937408 3026452480 3042705408 3058958336 3075211264 3091726336 3107979264 3124232192 3140485120 2846883840 
RESULT of [PG]t * G of Matrix with size 19 X 19


0 0 0 0 262144 262144 262144 262144 524288 524288 524288 524288 786432 786432 786432 786432 786432 1048576 1048576 
1048576 0 0 0 0 262144 262144 262144 262144 524288 524288 524288 524288 786432 786432 786432 786432 786432 1048576 
1048576 1048576 0 0 0 0 262144 262144 262144 262144 524288 524288 524288 524288 786432 786432 786432 786432 1048576 
1048576 1048576 1048576 0 0 0 0 262144 262144 262144 262144 524288 524288 524288 524288 786432 786432 786432 786432 
786432 1048576 1048576 1048576 0 0 0 0 262144 262144 262144 262144 524288 524288 524288 524288 786432 786432 786432 
786432 786432 1048576 1048576 1048576 0 0 0 0 262144 262144 262144 262144 524288 524288 524288 524288 786432 786432 
786432 786432 786432 1048576 1048576 1048576 0 0 0 0 262144 262144 262144 262144 524288 524288 524288 524288 786432 
786432 786432 786432 786432 1048576 1048576 1048576 0 0 0 0 262144 262144 262144 262144 524288 524288 524288 524288 
524288 786432 786432 786432 786432 1048576 1048576 1048576 0 0 0 0 262144 262144 262144 262144 524288 524288 524288 
